출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2020-12-28,전남,화순,342.9,4968165.0,3600,2000.0,604.9972775122512,8211.879928499999,0.56677941
2020-12-28,전남,화순,418.3,4907241.0,3600,2000.0,604.9972775122512,8111.1786489,0.6914080699999999
2020-12-28,전남,화순,258.0,2154744.0,3600,2000.0,604.9972775122512,3561.5763576,0.4264482
2020-12-28,전남,화순,590.0,3356144.0,3600,2000.0,604.9972775122512,5547.3704176,0.9752109999999999
2020-12-28,전남,화순,35.0,446602.0,3600,2000.0,604.9972775122512,738.1884458,0.05785149999999999
2021-01-04,전남,화순,157.0,2241605.0,3600,2000.0,604.9972775122512,3705.1489045,0.2595053
2021-01-04,전남,화순,213.1,2888690.0,3600,2000.0,604.9972775122512,4774.715701,0.35223298999999997
2021-01-04,전남,화순,102.0,1182140.0,3600,2000.0,604.9972775122512,1953.959206,0.1685958
2021-01-04,전남,화순,255.0,1959450.0,3600,2000.0,604.9972775122512,3238.7749049999998,0.42148949999999996
2021-01-04,전남,화순,321.0,1717918.0,3600,2000.0,604.9972775122512,2839.5466622,0.5305809
2021-01-11,전남,화순,89.0,1348112.0,3600,2000.0,604.9972775122512,2228.2943247999997,0.1471081
2021-01-11,전남,화순,206.7,2479705.0,3600,2000.0,604.9972775122512,4098.7043945,0.34165442999999995
2021-01-11,전남,화순,306.6,3349001.0,3600,2000.0,604.9972775122512,5535.5637529,0.50677914
2021-01-11,전남,화순,47.0,400464.0,3600,2000.0,604.9972775122512,661.9269456,0.0776863
2021-01-11,전남,화순,61.0,356015.0,3600,2000.0,604.9972775122512,588.4571935,0.1008269
2021-01-18,전남,화순,43.0,634891.0,3600,2000.0,604.9972775122512,1049.4113339,0.07107469999999999
2021-01-18,전남,화순,192.1,2561687.0,3600,2000.0,604.9972775122512,4234.2124423,0.31752209
2021-01-18,전남,화순,365.3,4128057.0,3600,2000.0,604.9972775122512,6823.265415299999,0.60380437
2021-01-18,전남,화순,159.0,908127.0,3600,2000.0,604.9972775122512,1501.0431182999998,0.26281109999999996
2021-01-18,전남,화순,1.0,15908.0,3600,2000.0,604.9972775122512,26.294333199999997,0.0016529
2021-01-25,전남,화순,32.0,459731.0,3600,2000.0,604.9972775122512,759.8893698999999,0.0528928
2021-01-25,전남,화순,22.0,290378.0,3600,2000.0,604.9972775122512,479.9657962,0.036363799999999995
2021-01-25,전남,화순,125.3,1478341.0,3600,2000.0,604.9972775122512,2443.5498389,0.20710836999999999
2021-01-25,전남,화순,185.5,1770171.0,3600,2000.0,604.9972775122512,2925.9156458999996,0.30661295
